GVKEY,LPERMNO,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,cusip,curcdq,datacqtr,datafqtr,teqq,costat,mkvaltq
1045,21020,6/30/2009,2009,2,INDL,C,D,STD,02376R102,USD,2009Q2,2009Q2,-3000,A,1125.8412
1045,21020,9/30/2009,2009,3,INDL,C,D,STD,02376R102,USD,2009Q3,2009Q3,-2859,A,2616.027
1045,21020,12/31/2009,2009,4,INDL,C,D,STD,02376R102,USD,2009Q4,2009Q4,-3489,A,2571.1835
1045,21020,3/31/2010,2010,1,INDL,C,D,STD,02376R102,USD,2010Q1,2010Q1,-3892,A,3034.1766
1045,21020,6/30/2010,2010,2,INDL,C,D,STD,02376R102,USD,2010Q2,2010Q2,-3930,A,2258.1468
1045,21020,9/30/2010,2010,3,INDL,C,D,STD,02376R102,USD,2010Q3,2010Q3,-3643,A,2088.2862
1045,21020,12/31/2010,2010,4,INDL,C,D,STD,02376R102,USD,2010Q4,2010Q4,-3945,A,2597.5755
1045,21020,3/31/2011,2011,1,INDL,C,D,STD,02376R102,USD,2011Q1,2011Q1,-3949,A,2151.5676
1045,21020,6/30/2011,2011,2,INDL,C,D,STD,02376R102,USD,2011Q2,2011Q2,-4509,A,1809.324
1045,21020,9/30/2011,2011,3,INDL,C,D,STD,02376R102,USD,2011Q3,2011Q3,-4833,A,991.7776
1045,21020,12/31/2011,2011,4,INDL,C,D,STD,02376R102,USD,2011Q4,2011Q4,-7111,A,117.3438
1045,21020,12/31/2013,2013,4,INDL,C,D,STD,02376R102,USD,2013Q4,2013Q4,-2731,A,6591.9923
1045,21020,3/31/2014,2014,1,INDL,C,D,STD,02376R102,USD,2014Q1,2014Q1,1095,A,23788.2798
1045,21020,6/30/2014,2014,2,INDL,C,D,STD,02376R102,USD,2014Q2,2014Q2,4086,A,30952.7659
1045,21020,9/30/2014,2014,3,INDL,C,D,STD,02376R102,USD,2014Q3,2014Q3,4971,A,25448.3138
1045,21020,12/31/2014,2014,4,INDL,C,D,STD,02376R102,USD,2014Q4,2014Q4,2021,A,37405.5843
1045,21020,3/31/2015,2015,1,INDL,C,D,STD,02376R102,USD,2015Q1,2015Q1,2764,A,36618.8168
1045,21020,6/30/2015,2015,2,INDL,C,D,STD,02376R102,USD,2015Q2,2015Q2,3636,A,27087.4712
1045,21020,9/30/2015,2015,3,INDL,C,D,STD,02376R102,USD,2015Q3,2015Q3,3762,A,24855.3936
1045,21020,12/31/2015,2015,4,INDL,C,D,STD,02376R102,USD,2015Q4,2015Q4,5635,A,26452.7417
1045,21020,3/31/2016,2016,1,INDL,C,D,STD,02376R102,USD,2016Q1,2016Q1,4710,A,24017.8346
1045,21020,6/30/2016,2016,2,INDL,C,D,STD,02376R102,USD,2016Q2,2016Q2,4312,A,15206.4617
1045,21020,9/30/2016,2016,3,INDL,C,D,STD,02376R102,USD,2016Q3,2016Q3,4391,A,19006.4842
1045,21020,12/31/2016,2016,4,INDL,C,D,STD,02376R102,USD,2016Q4,2016Q4,3785,A,23685.5569
1045,21020,3/31/2017,2017,1,INDL,C,D,STD,02376R102,USD,2017Q1,2017Q1,3457,A,20970.225
1045,21020,6/30/2017,2017,2,INDL,C,D,STD,02376R102,USD,2017Q2,2017Q2,3715,A,24539.1518
1045,21020,9/30/2017,2017,3,INDL,C,D,STD,02376R102,USD,2017Q3,2017Q3,3948,A,22795.2
1045,21020,12/31/2017,2017,4,INDL,C,D,STD,02376R102,USD,2017Q4,2017Q4,3926,A,24740.6812
1045,21020,3/31/2018,2018,1,INDL,C,D,STD,02376R102,USD,2018Q1,2018Q1,-1018,A,24285.5844
1045,21020,6/30/2018,2018,2,INDL,C,D,STD,02376R102,USD,2018Q2,2018Q2,-869,A,17480.6559
1045,21020,9/30/2018,2018,3,INDL,C,D,STD,02376R102,USD,2018Q3,2018Q3,-568,A,19034.9035
1045,21020,12/31/2018,2018,4,INDL,C,D,STD,02376R102,USD,2018Q4,2018Q4,-169,A,14790.2192
1045,21020,3/31/2019,2019,1,INDL,C,D,STD,02376R102,USD,2019Q1,2019Q1,-636,A,14108.3002
1045,21020,6/30/2019,2019,2,INDL,C,D,STD,02376R102,USD,2019Q2,2019Q2,-22,A,14519.9938
1045,21020,9/30/2019,2019,3,INDL,C,D,STD,02376R102,USD,2019Q3,2019Q3,160,A,11813.804
1045,21020,12/31/2019,2019,4,INDL,C,D,STD,02376R102,USD,2019Q4,2019Q4,-118,A,12280.862
1045,21020,3/31/2020,2020,1,INDL,C,D,STD,02376R102,USD,2020Q1,2020Q1,-2636,A,5154.9925
1075,27991,6/30/2009,2009,2,INDL,C,D,STD,723484101,USD,2009Q2,2009Q2,3235.973,A,3050.3057
1075,27991,9/30/2009,2009,3,INDL,C,D,STD,723484101,USD,2009Q3,2009Q3,3425.163,A,3323.8455
1075,27991,12/31/2009,2009,4,INDL,C,D,STD,723484101,USD,2009Q4,2009Q4,3345.68,A,3710.4923
