PERMNO,date,SICCD,TICKER,COMNAM,PERMCO,HSICIG,DIVAMT,PRC
10104,3/31/2009,7370,ORCL,ORACLE CORP,8045,,,18.07
10104,4/30/2009,7370,ORCL,ORACLE CORP,8045,,0.05,19.34
10104,6/30/2009,7370,ORCL,ORACLE CORP,8045,,,21.42
10104,7/31/2009,7370,ORCL,ORACLE CORP,8045,,0.05,22.13
10104,8/31/2009,7370,ORCL,ORACLE CORP,8045,,,21.88
10104,9/30/2009,7370,ORCL,ORACLE CORP,8045,,,20.84
10104,11/30/2009,7370,ORCL,ORACLE CORP,8045,,,22.08
10104,12/31/2009,7370,ORCL,ORACLE CORP,8045,,,24.53
10104,3/31/2010,7370,ORCL,ORACLE CORP,8045,,,25.71
10104,4/30/2010,7370,ORCL,ORACLE CORP,8045,,0.05,25.8675
10104,6/30/2010,7370,ORCL,ORACLE CORP,8045,,,21.46
10104,8/31/2010,7370,ORCL,ORACLE CORP,8045,,,21.845
10104,9/30/2010,7370,ORCL,ORACLE CORP,8045,,,26.85
10104,11/30/2010,7370,ORCL,ORACLE CORP,8045,,,27.045
10104,12/31/2010,7370,ORCL,ORACLE CORP,8045,,,31.3
10104,1/31/2011,7370,ORCL,ORACLE CORP,8045,,0.05,32.03
10104,2/28/2011,7370,ORCL,ORACLE CORP,8045,,,32.9
10104,3/31/2011,7370,ORCL,ORACLE CORP,8045,,,33.4325
10104,5/31/2011,7370,ORCL,ORACLE CORP,8045,,,34.22
10104,6/30/2011,7370,ORCL,ORACLE CORP,8045,,,32.91
10104,8/31/2011,7370,ORCL,ORACLE CORP,8045,,,28.07
10104,9/30/2011,7370,ORCL,ORACLE CORP,8045,,,28.74
10104,10/31/2011,7370,ORCL,ORACLE CORP,8045,,0.06,32.77
10104,11/30/2011,7370,ORCL,ORACLE CORP,8045,,,31.35
10104,1/31/2012,7370,ORCL,ORACLE CORP,8045,,0.06,28.21
10104,2/29/2012,7370,ORCL,ORACLE CORP,8045,,,29.255
10104,4/30/2012,7370,ORCL,ORACLE CORP,8045,,0.06,29.4
10104,5/31/2012,7370,ORCL,ORACLE CORP,8045,,,26.47
10104,7/31/2012,7370,ORCL,ORACLE CORP,8045,,0.06,30.2
10104,8/31/2012,7370,ORCL,ORACLE CORP,8045,,,31.65
10104,10/31/2012,7370,ORCL,ORACLE CORP,8045,,0.06,31.08
10104,11/30/2012,7370,ORCL,ORACLE CORP,8045,,,32.175
10104,12/31/2012,7370,ORCL,ORACLE CORP,8045,,0.06,33.32
10104,1/31/2013,7370,ORCL,ORACLE CORP,8045,,,35.51
10104,2/28/2013,7370,ORCL,ORACLE CORP,8045,,,34.24
10104,4/30/2013,7370,ORCL,ORACLE CORP,8045,,,32.78
10104,5/31/2013,7370,ORCL,ORACLE CORP,8045,,,33.78
10104,7/31/2013,7372,ORCL,ORACLE CORP,8045,,0.12,32.35
10104,9/30/2013,7372,ORCL,ORACLE CORP,8045,,,33.17
10104,10/31/2013,7372,ORCL,ORACLE CORP,8045,,0.12,33.5
