cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"57899","0","3317192","3370517","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2011","11/15/2020","NM","240 Salt Lick Rd.","1ST ADVANTAGE BANCSHARES INC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","2.9729665028817","3.36013380083021","10.7861627095874","0.477246645480226","0.921720545017366","11.4438582150554","0","12.4578670621545","-0.236470508749409","0","","0","","0",""
"16522","0","888253","2003975","1ST BANK","Evanston","WY","82930","12/31/2011","11/15/2020","NM","1001 Main St.","GLACIER BCORP INC","10","0","1","7","0","Uinta","","","1/1/1934","12/23/1946","9/22/2011","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","Kansas City","Western","West","0","0","","1.50538375344437","0.690004755045405","2.18589498636649","0.128928340568627","0","0.615685823518357","0.307454797603161","0.699802555707497","5.36453288720613","0.377734128500707","","0.349785602001597","0.200222469410456","0.437605319190626",""
"22039","0","564856","1128415","1ST BANK","Sidney","MT","59270","12/31/2011","11/15/2020","SM","120 2nd St, N.W.","1ST UNITED BCORP INC","2","0","0","2","1","Richland","","","6/9/1975","6/9/1975","6/22/2007","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","1.57573618394514E-03","0","0","0","0","0","","0","0","2.92295101134105E-02","","2.65192198045534E-02","5.72000572000572E-02","0",""
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","12/31/2011","11/15/2020","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","0.149476279406229","0.156402848238051","0","0.576761744966443","","0","","0","0","0.137225976877423","","0.120818545646757","5.05241884552229E-02","0.225309800976342",""
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2011","11/15/2020","SA","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","0.115266095482627","0.130368303870812","0.292756115858233","0.173871717446868","16.025641025641","7.88875575132936E-02","0.411836171570949","-8.0667713554327E-03","-1.67179350006687","0","","0","","0",""
"4788","0","488055","1055904","1ST BANK OF TROY","Troy","KS","66087","12/31/2011","11/15/2020","NM","212 S. Main St.","DON-CO INVESTMENT CO","1","0","0","2","0","Doniphan","41140","St. Joseph, MO-KS","2/4/1870","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","0.173944886935823","0","","0","","0","","0","1.60121355132311","0","0","0","0","0",""
"31826","7509","589671","1133286","1ST BANK OKLAHOMA","Claremore","OK","74017","12/31/2011","11/15/2020","SA","1698 S Lynn Riggs Blvd","BANCFIRST CORP","6","0","0","4","0","Rogers","46140","Tulsa, OK","10/12/1976","10/12/1976","7/21/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","0","","2.03590630582145E-02","9.58921916053844E-03","0","0","0","2.40495099244311E-02","0","2.61643118785976E-02","0","0.207419698945123","","0.185088478903219","0.343832504451403","0",""
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2011","11/15/2020","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","0.17815463822598","0.191001804464416","0.431733276943681","0","0","1.20994267456066","1.63525004459773","0.932147434652581","0.106546437423595","0.410509031198686","","0.383215175320943","0","0.574052812858783","0"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","12/31/2011","11/15/2020","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","6","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","9.26097425449157E-02","8.92993825585549E-02","0","0","0","0.120358668833123","0","0.122857669390012","0","0.266098988823842","","0.249003984063745","0","0.366837857666911",""
"58485","0","3594797","","1ST CAPITAL BANK","Monterey","CA","93940","12/31/2011","11/15/2020","NM","5 Harris Court, Bldg. N, # N","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","4/21/2008","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","0.035760112749532","0","0","0","0","0","0","0","0.104570660548258","0","","0","0","0","0"
