cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"4829","0","746223","2706726","1880 BANK","Cambridge","MD","21613","12/31/2017","8/22/2022","SM","304 High St.","DELMARVA BANCSHARES INC","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","50","354590","43034","40501","33818","204","246736","1846","0","5142","334","2449","22873","354590","305462","299783","219339","299783","76.0388703067006","0","0","0","0","5679","49128","49128","0","13242","33764","2122","0","5528","0","666","321259","96854","331144.8","341213.5","243834","342593","13901","4145","0","9756","16883","11325","0","0","35847","43268","2104","35847","0"
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2017","8/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","18","101548","6095","5050","2979","0","86323","719","0","1959","3426","0","766","101548","91282","84702","67577","84702","81.0816550454819","0","0","6500","0","80","10266","10266","0","534","16797","-7065","0","541","0","203","94352","8693","97836.4","101253","86737","103636","0","0","0","0","9019","2178","6500","0","7390","10270","719","7390","0"
"22039","0","564856","1128415","1ST BANK","Broadus","MT","59317","12/31/2017","8/22/2022","SM","201 N. Wilbur Ave","1ST UNITED BCORP INC","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","3/6/2017","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","9","51026","27544","24675","0","0","22061","555","0","906","0","0","515","51026","44631","44540","32813","44540","89.8038423556872","0","0","0","0","91","6395","6395","0","657","4443","1295","0","10","0","273","46736","379","48834.6","48098.5","24676","49208","0","0","0","0","550","0","0","0","3384","6395","311","3384","0"
"16419","17301","419255","1055780","1ST BANK & TRUST","Broken Bow","OK","74728","12/31/2017","8/22/2022","SM","710 S. Park Dr.","SOUTHEASTERN BANCSHARES INC","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/19/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","42","147652","11206","2296","38242","2967","88749","1099","0","5330","0","0","1158","147652","133159","132857","86582","132857","81.3662633194871","0","0","0","0","302","14493","14493","0","500","752","13241","0","104","0","807","132254","41029","141690.8","146129","89618","144950","0","0","0","0","1804","549","0","0","1686","14603","1099","1686","0"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","12/31/2017","8/22/2022","SM","117 N. Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","14","40321","11624","10609","9780","286","17718","183","0","402","45","0","466","40321","36962","36938","29282","36938","91.5872929970776","0","0","0","0","24","3359","3359","0","300","300","2759","0","339","0","162","38393","8196","41655.2","40802","17239","40619","0","0","0","0","2336","102","0","0","1602","3417","183","1602","0"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2017","8/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","41","247161","42045","39796","22407","3000","163671","964","0","5250","1265","0","9523","247161","222342","217130","183195","217130","71.6960798762066","0","0","0","0","5212","24819","24819","0","100","0","24719","0","3175","0","639","228874","124415","249605","249989.5","136219","245641","6004","4638","0","1366","10532","8196","0","0","19390","24819","964","19390","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2017","8/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","9/4/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","67","312601","28721","17977","18867","0","246066","2135","0","5126","66","3124","10631","312601","278702","274086","163084","274086","74.6265934081971","0","0","2000","0","2616","33899","33899","0","5165","13820","14914","0","2317","0","1003","282910","137377","299467.2","301537","274261","298623","7267","4288","0","2979","8639","5049","2000","0","44683","31468","2150","44683","0"
"32487","8322","941653","1064791","1ST CAMERON STATE BANK","Cameron","MO","64429","12/31/2017","8/22/2022","NM","124 S. Walnut","C&M BANCSHARES INC","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","15","57817","13522","12438","16641","0","26659","249","0","686","0","0","309","57817","52763","48498","40282","48498","78.0996165422834","3872","0","0","0","393","5054","5054","0","500","1337","3217","0","216","0","156","55738","11416","60735.6","59088","23692","59833","0","0","0","0","6168","64","0","0","3132","5054","249","3132","0"
"58485","0","3594797","","1ST CAPITAL BANK","Salinas","CA","93901","12/31/2017","8/22/2022","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","80","580232","65719","51894","74927","0","421555","6378","0","2308","0","69","15654","580231","528239","526076","264370","526076","52.3166962558022","0","0","0","0","2163","51992","51992","0","47979","2127","1886","0","255","0","1493","548376","158859","562823","576784","403685","570051","7654","0","0","7654","4027","9835","0","0","76032","52097","5064","76032","0"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","12/31/2017","8/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","58","539979","28367","27517","118547","27","378825","4858","0","865","244","0","13104","539979","501775","496903","437190","496903","50.985816872871","3166","0","0","0","1706","38204","38204","0","1025","16200","20979","0","2074","0","1505","524916","189350","513686.8","531316.5","343864","540394","8434","7168","0","1266","35892","958","0","7169","60234","38205","4305","60234","0"
