cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","3/31/2022","8/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","131884","131884","127689","0","66","4129","0","0","","50790","43417","81094","36217","4060","40817","88467","43417","88467","122897","90135","0","0","0","3980","",""
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","3/31/2022","8/22/2022","SM","117 N. Price","","1","0","0","7","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","43250","43250","34184","0","9066","0","0","0","","18594","10498","24656","3207","6750","14699","32752","10498","32752","41061","37030","0","0","0","0","",""
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","3/31/2022","8/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","8","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","279984","279984","236633","0","43351","0","0","0","","126474","71023","153510","518","130628","22363","208961","68081","211903","276581","189971","0","0","0","0","",""
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","3/31/2022","8/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","529478","529478","502876","0","26602","0","0","0","","355620","355620","173858","67397","75521","30941","173858","274558","254920","515566","336469","0","0","0","0","",""
"58485","0","3594797","5533567","1ST CAPITAL BANK","Salinas","CA","93901","3/31/2022","8/22/2022","NM","150 Main St, # 150, Salinas,","1ST CAPITAL BCORP","7","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","10/30/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","934574","934574","922753","0","11821","0","0","0","","510740","451284","423834","250596","161720","11520","483290","451284","483290","929433","389881","0","0","0","0","",""
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","3/31/2022","8/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","1","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","627904","627904","359092","0","268070","742","0","0","","87514","25824","540390","42986","379753","117651","602080","86134","541770","591244","300804","0","0","0","0","",""
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","3/31/2022","8/22/2022","NM","407 3rd St","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","62594","62594","59513","1","3080","0","0","0","","18235","12606","44359","12466","13679","18214","49988","12606","49988","59339","53860","0","0","0","0","",""
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","3/31/2022","8/22/2022","NM","3956 Dempster St","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","100950","100950","89542","0","0","11409","0","0","","25021","10792","75930","24899","5576","45455","90159","10792","90158","96998","81829","0","0","0","11409","",""
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","3/31/2022","8/22/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","126450","126450","126178","0","272","0","0","0","","62984","23475","63466","13606","29708","20152","102975","23669","102781","126149","104724","0","0","0","1000","",""
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","3/31/2022","8/22/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","8","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","723689","723689","677712","0","25718","20259","0","0","0","47164","15239","676525","47347","3638","625540","708450","16977","706712","271470","668725","1491","445332","445332","197715","0","0"
