cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","6/30/2022","8/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","20","146778","13784","11895","1792","0","127745","1298","0","2013","736","0","708","146778","132630","132285","89906","132285","69.5702776644145","0","0","0","0","345","14148","14148","0","534","16612","-2998","0","0","0","267","141432","22525","142116","146363.5","128299","147646","0","0","0","0","8184","2464","0","0","20481","14164","1298","20481","0"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","6/30/2022","8/22/2022","SM","117 N. Price","","1","0","0","7","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","13","46569","11043","9430","19434","187","14962","99","0","469","21","0","453","46569","43995","43939","32449","43939","86.7775552926185","0","0","0","0","56","2574","2574","0","300","300","1974","0","258","0","210","44013","6829","46625","46399","17075","48306","0","0","0","0","2191","0","0","0","3186","3886","99","3186","0"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","6/30/2022","8/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","8","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","41","333074","100262","94901","35270","500","180778","1032","0","4422","528","0","11314","333074","304930","294731","219400","294731","66.0117258273562","0","0","0","0","10199","28144","28144","0","100","0","28044","0","370","0","607","311449","161710","321828.666666667","324658","149821","321118","7054","5623","0","1431","3709","8460","0","0","32261","28248","1032","32261","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","6/30/2022","8/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","73","591195","122402","112070","174764","9230","256491","3471","0","6401","0","2855","19052","591195","554548","551423","262688","551423","60.8601273053697","0","0","0","0","3125","36647","36647","0","5165","15222","16260","0","2304","0","1815","552555","290822","576040.666666667","582552.5","312928","601478","7977","4737","0","3240","13299","4804","0","0","93177","48958","3526","93177","0"
"58485","0","3594797","5533567","1ST CAPITAL BANK","Salinas","CA","93901","6/30/2022","8/22/2022","NM","150 Main St, # 150, Salinas,","1ST CAPITAL BCORP","7","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","10/30/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","102","989792","35451","20826","343706","0","577997","8066","0","4038","0","54","28546","989792","936803","928421","509608","928421","41.8245933757487","0","0","2193","0","6189","52989","52989","0","72456","3203","-22670","0","71","0","3548","942529","421596","998268","997806","732022","1010942","8568","0","0","8568","7985","9781","0","0","100822","97227","8192","100822","0"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","6/30/2022","8/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","1","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","103","734572","15821","14990","126960","22","564031","7755","152","1193","0","0","26393","734572","668977","640955","549559","640955","51.3191764195655","0","24","24000","0","3998","65595","65595","0","1025","25550","39020","0","3297","0","1885","706155","261597","704610","715881","535011","716568","15958","14688","0","1270","59050","1015","24000","10919","136046","69354","6701","136046","0"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","6/30/2022","8/22/2022","NM","407 3rd St","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","17","68556","19357","16171","3869","0","44110","476","0","617","0","0","603","68556","61943","61703","48804","61703","86.2567226073997","0","0","0","0","240","6613","6613","0","200","1320","5093","0","181","0","476","64150","6557","69132.6666666667","69027.5","0","69157","0","0","0","0","3511","2970","0","0","5891","6731","0","5891","0"
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","6/30/2022","8/22/2022","NM","3956 Dempster St","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","11","126652","28698","20406","164","0","93370","1637","0","1184","0","1020","2216","126652","103874","96435","83532","96435","80.753320269976","0","0","7286","0","153","22778","22778","0","2500","17000","3278","0","731","0","256","113940","5618","134753.666666667","131497.5","86475","129486","956","956","0","0","4089","0","7222","0","8025","21758","1088","8025","0"
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","6/30/2022","8/22/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","24","139564","22954","21615","29192","0","83608","847","0","1868","0","495","1447","139564","130156","129930","106223","129930","82.0294762765998","0","0","0","0","226","9408","9408","0","1013","1111","7284","0","108","0","317","134415","46628","135142.333333333","138168.5","63924","138736","0","0","0","0","301","1231","0","0","11146","11406","799","11146","0"
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","6/30/2022","8/22/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","9","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","297","1014120","44955","31385","85010","675","771044","15926","0","42051","304","4270","65811","1014120","815844","748389","730237","748389","92.415402411235","0","0","42270","0","25185","198276","198276","0","88","89912","108276","0","9258","0","6545","888114","44574","974482","991561","859202","974091","0","0","0","0","47146","183","22800","0","1809636","194006","10804","1809636","0"
