cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,NETINBM,NETIMIN,netinc,ntlnls,eqcdiv,eqcstkrx,noij
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","6/30/2022","8/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","2800","194","2606","139","55","0","39","","16","1888","1176","137","575","634","0","0","634","0","634","0","634","0","0","0","634"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","6/30/2022","8/22/2022","SM","117 N. Price","","1","0","0","7","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","649","46","603","0","118","0","66","","52","598","298","76","224","123","0","0","123","0","123","0","123","74","0","0","123"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","6/30/2022","8/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","8","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","4177","139","4038","0","195","0","100","","95","3964","2142","341","1481","269","0","55","214","0","214","0","214","0","0","0","214"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","6/30/2022","8/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","9073","146","8927","23","1701","0","575","","1126","6182","3481","740","1961","4423","0","1009","3414","0","3414","0","3414","-29","1160","0","3414"
"58485","0","3594797","5533567","1ST CAPITAL BANK","Salinas","CA","93901","6/30/2022","8/22/2022","NM","150 Main St, # 150, Salinas,","1ST CAPITAL BCORP","7","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","10/30/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","17935","764","17171","0","609","0","213","","396","11064","6880","1185","2999","6716","0","1829","4887","0","4887","0","4887","511","0","20","4887"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","6/30/2022","8/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","1","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","13316","927","12389","600","3185","0","54","","3131","9377","6314","581","2482","5597","0","1413","4184","0","4184","0","4184","-249","0","0","4184"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","6/30/2022","8/22/2022","NM","407 3rd St","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","1002","85","917","0","27","0","22","","5","900","583","109","208","44","-1","7","36","0","36","0","36","0","0","0","36.84"
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","6/30/2022","8/22/2022","NM","3956 Dempster St","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","2256","305","1951","43","224","0","26","","198","1377","838","168","371","755","0","-16","771","0","771","0","771","-1","2600","0","771"
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","6/30/2022","8/22/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","1910","124","1786","-20","447","0","198","","249","2170","1154","238","778","83","34","25","92","0","92","0","92","7","0","0","65.14"
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","6/30/2022","8/22/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","9","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","55767","2747","53020","8592","14247","0","7","0","14240","48535","17483","4732","26320","10140","0","3039","7101","0","7101","0","7101","4747","0","0","7101"
