cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","6/30/2022","8/22/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","36793","421","3645","32727","11852","2525","2795","6532","217","0","217","0","0","0","0","0","121","19","30","72","134","83","28","23","1","0","1","0","0","0","0","0"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","6/30/2022","8/22/2022","SM","117 N. Price","","1","0","0","7","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","2827","556","997","1274","3129","783","811","1535","680","112","364","204","1380","703","260","417","26","15","7","4","51","35","9","7","7","4","2","1","51","44","4","3"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","6/30/2022","8/22/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","8","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","7892","674","1744","5474","463","463","0","0","0","0","0","0","0","0","0","0","38","8","14","16","13","13","0","0","0","0","0","0","0","0","0","0"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","6/30/2022","8/22/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","57388","937","7868","48583","12821","1613","1626","9582","2022","31","646","1345","1071","14","301","756","199","30","60","109","158","83","27","48","11","1","5","5","8","3","2","3"
"58485","0","3594797","5533567","1ST CAPITAL BANK","Salinas","CA","93901","6/30/2022","8/22/2022","NM","150 Main St, # 150, Salinas,","1ST CAPITAL BCORP","7","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","10/30/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","55765","56","2688","53021","19178","1454","4045","13679","420","0","0","420","337","11","317","9","114","1","16","97","213","63","70","80","1","0","0","1","10","3","4","3"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","6/30/2022","8/22/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","1","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","62620","1277","16102","45241","22912","3264","5549","14099","255","91","164","0","0","0","0","0","305","28","130","147","231","107","57","67","2","1","1","0","0","0","0","0"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","6/30/2022","8/22/2022","NM","407 3rd St","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","2393","402","859","1132","1834","893","566","375","9668","664","3005","5999","6474","2742","1885","1847","27","12","8","7","49","39","8","2","54","12","22","20","158","128","21","9"
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","6/30/2022","8/22/2022","NM","3956 Dempster St","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","11889","584","1307","9998","7745","184","2211","5350","0","0","0","0","0","0","0","0","32","5","4","23","42","16","15","11","0","0","0","0","0","0","0","0"
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","6/30/2022","8/22/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","1314","135","44","1135","96","96","0","0","0","0","0","0","0","0","0","0","10","4","1","5","3","3","0","0","0","0","0","0","0","0","0","0"
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","6/30/2022","8/22/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","9","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","910","0","388","522","1580","200","202","1178","101","30","71","0","3535","372","1145","2018","5","0","3","2","19","13","3","3","2","1","1","0","53","25","15","13"
"6646","8805","480723","","1ST NATIONAL BANK","Lebanon","OH","45036","6/30/2022","8/22/2022","N","1000 E Main St","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","5/9/2022","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","26299","734","4674","20891","6020","1889","2147","1984","322","0","213","109","0","0","0","0","103","16","32","55","96","65","23","8","2","0","1","1","0","0","0","0"
"57633","0","1018927","4347208","1ST SECURITY BANK OF WASHINGTON","Mountlake Terrac","WA","98043","6/30/2022","8/22/2022","SB","6920 220th St. Sw, # 300","FS BCORP INC","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","45242","323","3621","41298","41428","1165","7207","33056","5","5","0","0","49","49","0","0","120","4","28","88","224","57","63","104","1","1","0","0","1","1","0","0"
"9087","10250","991340","1199602","1ST SOURCE BANK","South Bend","IN","46601","6/30/2022","8/22/2022","SM","100 N Michigan St Ste B","1ST SOURCE CORP","82","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","8/29/2021","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","185280","7401","36140","141739","330028","27946","65647","236435","17038","2416","5370","9252","10121","1913","3468","4740","874","174","307","393","3073","1420","739","914","153","54","61","38","195","105","55","35"
"57626","0","3223305","3223293","1ST STATE BANK","Saginaw","MI","48604","6/30/2022","8/22/2022","NM","4800 Fashion Sq. Blvd","1ST STATE FINANCIAL LTD","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststate.bank","65850","3030","13005","49815","51534","9068","10138","32328","153","39","114","0","0","0","0","0","292","62","100","130","576","306","134","136","2","1","1","0","0","0","0","0"
"8426","10595","526519","1830240","1ST SUMMIT BANK","Johnstown","PA","15904","6/30/2022","8/22/2022","NM","125 Donald Ln.","1ST SUMMIT BCORP JOHNSTOWN INC","17","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.bank","46762","3168","11219","32375","41952","8557","9602","23793","1530","0","504","1026","512","127","238","147","260","74","89","97","878","676","109","93","7","0","4","3","11","8","2","1"
"57869","0","3309393","","1ST TRUST BANK, INC.","Hazard","KY","41701","6/30/2022","8/22/2022","NM","44 Commerce Dr","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","24576","1571","5671","17334","14187","2070","3189","8928","487","310","177","0","0","0","0","0","138","39","49","50","151","96","31","24","7","5","2","0","0","0","0","0"
"31249","6607","350572","5281989","1ST UNITED BANK","Faribault","MN","55021","6/30/2022","8/22/2022","NM","430 4th St Nw","MIDCOUNTRY ACQUISITION CORP","2","0","0","7","0","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.1stunited.com","19613","599","2640","16374","6892","2734","1779","2379","798","0","141","657","0","0","0","0","59","15","15","29","119","100","12","7","4","1","1","2","3","3","0","0"
